322. 27 animals, 20 plants, 38 avg. energy, 34 avg. life time, 2 avg. childs
323. 26 animals, 19 plants, 42 avg. energy, 34 avg. life time, 2 avg. childs
324. 25 animals, 20 plants, 42 avg. energy, 34 avg. life time, 2 avg. childs
325. 25 animals, 20 plants, 43 avg. energy, 34 avg. life time, 2 avg. childs
326. 25 animals, 21 plants, 42 avg. energy, 34 avg. life time, 2 avg. childs
327. 23 animals, 21 plants, 46 avg. energy, 34 avg. life time, 2 avg. childs
328. 24 animals, 22 plants, 43 avg. energy, 34 avg. life time, 2 avg. childs
329. 25 animals, 22 plants, 42 avg. energy, 34 avg. life time, 2 avg. childs
330. 26 animals, 20 plants, 44 avg. energy, 34 avg. life time, 2 avg. childs
331. 27 animals, 21 plants, 42 avg. energy, 34 avg. life time, 2 avg. childs
332. 28 animals, 20 plants, 42 avg. energy, 34 avg. life time, 2 avg. childs
333. 26 animals, 19 plants, 48 avg. energy, 35 avg. life time, 2 avg. childs
334. 28 animals, 20 plants, 43 avg. energy, 35 avg. life time, 2 avg. childs
335. 31 animals, 21 plants, 38 avg. energy, 35 avg. life time, 2 avg. childs
336. 33 animals, 22 plants, 35 avg. energy, 35 avg. life time, 2 avg. childs
337. 36 animals, 23 plants, 31 avg. energy, 35 avg. life time, 2 avg. childs
338. 38 animals, 22 plants, 30 avg. energy, 35 avg. life time, 2 avg. childs
339. 40 animals, 21 plants, 30 avg. energy, 35 avg. life time, 2 avg. childs
340. 41 animals, 21 plants, 29 avg. energy, 35 avg. life time, 2 avg. childs
